case_id,system,source_type,modification_type,pack_size_category,selected_mod_count,expected_repairable,initial_status,solver_status,issue_types,action_types,final_compatible,repair_success,total_cost,preservation_rate,removed_mod_count,runtime_seconds,runtime_minimum_seconds,runtime_maximum_seconds,runtime_samples_seconds,states_expanded,explanation_complete,passed,failure_category
synthetic-embedded-info,weighted_preservation,synthetic,none,small,1,False,compatible,already_compatible,embedded_dependency_info,,True,False,0,1.0,0,0.0001405000002705492,0.0001396000006934628,0.00014180000289343297,0.0001396000006934628;0.0001405000002705492;0.00014180000289343297,0,True,True,
synthetic-multi-repair,baseline,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,5,1.0,0,0.00026310000248486176,0.00023359999613603577,0.0004005999944638461,0.0004005999944638461;0.00026310000248486176;0.00023359999613603577,0,False,True,
synthetic-multi-repair,weighted_default,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,5,1.0,0,0.0008147000044118613,0.0008109999980661087,0.0010497000039322302,0.0008147000044118613;0.0008109999980661087;0.0010497000039322302,4,True,True,
synthetic-multi-repair,weighted_preservation,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,6,1.0,0,0.0008010999954422005,0.0007724000024609268,0.0010669999974197708,0.0007724000024609268;0.0008010999954422005;0.0010669999974197708,4,True,True,
synthetic-version-choice,baseline,synthetic,none,small,1,True,incompatible,solution_found,minecraft_version_mismatch,downgrade_mod,True,True,5,1.0,0,0.00012109999806853011,0.0001199000034830533,0.00012789999891538173,0.00012109999806853011;0.00012789999891538173;0.0001199000034830533,0,False,True,
synthetic-version-choice,weighted_default,synthetic,none,small,1,True,incompatible,solution_found,minecraft_version_mismatch,upgrade_mod,True,True,4,1.0,0,0.00037000000156695023,0.00036579999868990853,0.0023608999981661327,0.00036579999868990853;0.00037000000156695023;0.0023608999981661327,3,True,True,
synthetic-version-choice,weighted_preservation,synthetic,none,small,1,True,incompatible,solution_found,minecraft_version_mismatch,upgrade_mod,True,True,5,1.0,0,0.00036469999758992344,0.0003643000018200837,0.0003729999953065999,0.00036469999758992344;0.0003729999953065999;0.0003643000018200837,3,True,True,
synthetic-no-solution,baseline,synthetic,none,small,1,False,incompatible,no_solution,unknown_dependency_target;missing_dependency,,False,False,0,1.0,0,0.00010850000398932025,0.0001049999991664663,0.0001140000022132881,0.0001049999991664663;0.0001140000022132881;0.00010850000398932025,0,False,True,
synthetic-no-solution,weighted_default,synthetic,none,small,1,False,incompatible,no_solution,unknown_dependency_target;missing_dependency,,False,False,,1.0,0,0.00016260000120382756,0.0001486000037402846,0.00016350000078091398,0.00016350000078091398;0.00016260000120382756;0.0001486000037402846,1,True,True,
synthetic-no-solution,weighted_preservation,synthetic,none,small,1,False,incompatible,no_solution,unknown_dependency_target;missing_dependency,,False,False,,1.0,0,0.00013949999993201345,0.00013819999730912969,0.0001396999941789545,0.00013949999993201345;0.0001396999941789545;0.00013819999730912969,1,True,True,
